mono,mono_index,date_index,tech_index,fruit_index,date,open,payoff_i,tech,timestep,forg_bout,dates.julian,RCI,s1,s2,s3,s4,s5,s6,s7,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ks1,ks2,ks3,ks4,ks5,ks6,ks7,prs1,prs2,prs3,prs4,prs5,prs6,prs7,Yobs1,Yobs2,Yobs3,Yobs4,Yobs5,Yobs6,Yobs7,cos1,cos2,cos3,cos4,cos5,cos6,cos7,Moms1,Moms2,Moms3,Moms4,Moms5,Moms6,Moms7,y1,y2,y3,y4,y5,y6,y7,yob,age,age.c
GW,7,21,2,203,1/14/14,0,0,BITE AND POP,203,9,366,,3,4,0,3,0,0,1,0.058474982,0,0,0.083956883,0,0,0,0.090909091,0.090909091,0,0.090909091,0,0,0,0,0.090909091,0,0,0,0,0,0.818181818,1.090909091,0,0.818181818,0,0,0.272727273,0.069805195,0.058377897,0,0.083333333,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,23,7,227,1/16/14,0,0,SEAM STRIP,227,10,368,EH,3,5,0,3,0,0,1,0.058474982,0,0,0.083956883,0,0,0,0.083333333,0.166666667,0,0.083333333,0,0,0,0,0.083333333,0,0,0,0,0,0.75,1.25,0,0.75,0,0,0.25,0.063988095,0.074346405,0,0.076388889,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,23,2,246,1/16/14,0,0,BITE AND POP,246,11,368,,3,5,1,3,0,0,2,0.058474982,0,0.249542515,0.083956883,0,0,0,0.071428571,0.142857143,0,0.071428571,0,0,0,0,0.071428571,0.071428571,0,0,0,0,0.642857143,1.071428571,0.214285714,0.642857143,0,0,0.428571429,0.054846939,0.06372549,0.004201681,0.065476191,0,0,0.022108844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,24,2,261,1/17/14,0,0,BITE AND POP,261,12,369,,3,6,1,3,0,0,2,0.058474982,0,0.249542515,0.083956883,0,0,0,0.066666667,0.2,0,0.066666667,0,0,0,0,0.066666667,0.066666667,0,0,0,0,0.6,1.2,0.2,0.6,0,0,0.4,0.051190476,0.076143791,0.003921569,0.061111111,0,0,0.020634921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,24,2,269,1/17/14,0,0,BITE AND POP,269,13,369,,3,7,1,3,0,0,2,0.058474982,0,0.249542515,0.083956883,0,0,0,0.0625,0.25,0,0.0625,0,0,0,0,0.0625,0.0625,0,0,0,0,0.5625,1.3125,0.1875,0.5625,0,0,0.375,0.047991071,0.102634804,0.003676471,0.057291667,0,0,0.019345238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,24,2,271,1/17/14,0,0,BITE AND POP,271,14,369,,3,7,1,3,0,0,2,0.058474982,0,0.249542515,0.083956883,0,0,0,0.0625,0.25,0,0.0625,0,0,0,0,0.0625,0.0625,0,0,0,0,0.5625,1.3125,0.1875,0.5625,0,0,0.375,0.047991071,0.102634804,0.003676471,0.057291667,0,0,0.019345238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,24,2,281,1/17/14,0,0,BITE AND POP,281,15,369,,3,7,1,3,0,0,2,0.058474982,0,0.249542515,0.083956883,0,0,0,0.0625,0.25,0,0.0625,0,0,0,0,0.0625,0.0625,0,0,0,0,0.5625,1.3125,0.1875,0.5625,0,0,0.375,0.047991071,0.102634804,0.003676471,0.057291667,0,0,0.019345238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,25,2,308,1/18/14,0,0,BITE AND POP,308,16,370,,3,9,2,3,0,0,2,0.058474982,0.025897252,0.236730569,0.083956883,0,0,0,0.052631579,0.210526316,0,0.052631579,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0.473684211,1.421052632,0.315789474,0.473684211,0,0,0.315789474,0.040413534,0.107106,0.010614772,0.048245614,0,0,0.016290727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,27,2,331,1/20/14,0,0,BITE AND POP,331,17,372,,3,8,3,3,0,0,2,0.058474982,0.029134409,0.208998263,0.083956883,0,0,0,0.052631579,0.157894737,0,0.052631579,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0.473684211,1.263157895,0.473684211,0.473684211,0,0,0.315789474,0.040413534,0.093948106,0.019386702,0.048245614,0,0,0.016290727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,28,1,338,1/21/14,0,0,BACK ATTACK,338,18,373,,3,8,3,3,0,0,2,0.058474982,0.029134409,0.208998263,0.083956883,0,0,0,0.052631579,0.157894737,0,0.052631579,0,0,0,0,0.052631579,0.052631579,0,0,0,0,0.473684211,1.263157895,0.473684211,0.473684211,0,0,0.315789474,0.040413534,0.093948106,0.019386702,0.048245614,0,0,0.016290727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,30,4,375,1/23/14,0,0,CHEW HOLE,375,19,375,,3,7,3,3,0,0,3,0.058474982,0.033296467,0.208998263,0.064829861,0,0,0.065053801,0.052631579,0.157894737,0,0.052631579,0,0,0,0,0,0.052631579,0,0,0,0.052631579,0.473684211,1.105263158,0.473684211,0.473684211,0,0,0.473684211,0.040413534,0.09085213,0.019386702,0.046052632,0,0,0.019386702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,36,2,547,2/5/14,0,0,BITE AND POP,547,20,388,EQ,3,3,6,2,0,0,10,0.162826224,0.70406225,0.203871406,0.179506374,0,0,0.216123037,0,0,0,0.043478261,0,0,0.086956522,0.043478261,0.043478261,0,0.043478261,0,0,0.086956522,0.391304348,0.391304348,0.782608696,0.260869565,0,0,1.304347826,0.010062721,0.020673487,0.025879917,0.024296675,0,0,0.059980514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,46,2,778,2/16/14,0,0,BITE AND POP,778,21,399,RZ,5,2,6,4,0,0,6,0.107325996,0.6397543,0.459388459,0.133427211,0,0,0.229632058,0.043478261,0,0,0.130434783,0,0,0.043478261,0.043478261,0.043478261,0.130434783,0,0,0,0.086956522,0.652173913,0.260869565,0.782608696,0.52173913,0,0,0.782608696,0.028178663,0.007992327,0.028376568,0.049689441,0,0,0.033582998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,-5.826086957
GW,7,47,4,800,2/17/14,1,0.159225633,CHEW HOLE,800,22,400,,5,2,9,4,0,0,6,0.107325996,0.6397543,0.389401158,0.133427211,0,0,0.229632058,0.038461538,0,0,0.115384615,0,0,0.038461538,0.038461538,0.038461538,0.153846154,0,0,0,0.076923077,0.576923077,0.230769231,1.038461538,0.461538462,0,0,0.692307692,0.024927279,0.007070136,0.039269554,0.043956044,0,0,0.029708037,0,0,0,0,0,0,0,0,0,0,0.159225633,0,0,0,2012,3,-5.826086957
